epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,17.5262,1.40022,3.09983,2.72371,0.08826,0.83005,0.90015,0.8839,0.60571,1.02753,1.50549,2.0035,0.07409,0.00047157,0.00047157,0.00047157
2,30.771,1.14373,1.31111,2.00356,0.07302,0.94263,0.96022,0.97985,0.71277,0.8739,0.75579,1.8107,0.03045,0.000938519,0.000938519,0.000938519
3,43.9754,1.06838,0.94485,1.83157,0.06409,0.97584,0.98503,0.9913,0.77423,0.77996,0.53306,1.65237,0.01477,0.00139604,0.00139604,0.00139604
4,57.1911,1.00024,0.79623,1.69641,0.05626,0.98365,0.98742,0.99404,0.76957,0.71298,0.55338,1.54384,0.01823,0.00138656,0.00138656,0.00138656
5,70.5294,0.97356,0.74637,1.64933,0.05759,0.93104,0.99184,0.97657,0.74668,0.77297,0.53526,1.44976,0.03775,0.00137241,0.00137241,0.00137241
6,83.9644,0.97749,0.70379,1.56627,0.06707,0.98358,0.98335,0.99419,0.78375,0.71308,0.48053,1.4404,0.02008,0.00135826,0.00135826,0.00135826
7,97.5601,0.94195,0.67524,1.57455,0.05962,0.96005,0.96849,0.98482,0.78446,0.67997,0.57611,1.37412,0.02126,0.00134412,0.00134412,0.00134412
8,111.116,0.92228,0.67118,1.53474,0.05282,0.99638,0.99258,0.99449,0.80769,0.61626,0.39132,1.2981,0.02352,0.00132997,0.00132997,0.00132997
9,124.667,0.91574,0.65132,1.48345,0.06669,0.96394,0.98691,0.98812,0.80907,0.62937,0.44989,1.31269,0.02247,0.00131582,0.00131582,0.00131582
10,138.398,0.88105,0.61712,1.47803,0.05086,0.96669,0.98704,0.99095,0.80091,0.65304,0.44682,1.33714,0.02489,0.00130168,0.00130168,0.00130168
11,152.101,0.89982,0.62153,1.49102,0.05369,0.98126,0.99306,0.99369,0.81102,0.61757,0.39535,1.30266,0.01487,0.00128753,0.00128753,0.00128753
12,165.897,0.85873,0.59955,1.43457,0.0502,0.97578,0.99549,0.99305,0.81231,0.60503,0.37655,1.26959,0.02009,0.00127338,0.00127338,0.00127338
13,179.634,0.85598,0.58596,1.43652,0.05434,0.98044,0.99454,0.99331,0.82934,0.58809,0.38726,1.25642,0.01696,0.00125923,0.00125923,0.00125923
14,193.362,0.8254,0.57304,1.39872,0.043,0.99094,0.99088,0.99459,0.83222,0.59552,0.3596,1.23308,0.02055,0.00124509,0.00124509,0.00124509
15,207.188,0.81173,0.57519,1.40592,0.04418,0.97622,0.99642,0.99095,0.8019,0.62525,0.39215,1.27663,0.01493,0.00123094,0.00123094,0.00123094
16,220.978,0.80426,0.55658,1.38486,0.04121,0.99044,0.99095,0.99336,0.82406,0.55967,0.37338,1.21223,0.01296,0.00121679,0.00121679,0.00121679
17,234.918,0.80808,0.5463,1.36307,0.04798,0.9757,0.99095,0.99378,0.83608,0.55613,0.34808,1.2189,0.01795,0.00120265,0.00120265,0.00120265
