epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1273,1.71463,6.56869,3.52932,0.26764,0.53898,0.68257,0.60862,0.41081,1.07623,4.64808,2.97762,0.23183,0.00024293,0.00024293,0.00024293
2,18.0929,1.52098,3.92692,2.84819,0.28105,0.64475,0.85861,0.71104,0.46063,1.15928,3.9247,2.55643,0.33299,0.000495199,0.000495199,0.000495199
3,22.9248,1.65825,3.25546,2.86537,0.29287,0.63982,0.93245,0.78415,0.40205,1.73567,3.70736,3.11842,0.15096,0.000742374,0.000742374,0.000742374
4,27.6891,1.72932,2.68044,2.81108,0.30775,0.69998,1,0.92664,0.69599,1.01662,2.44427,2.26389,0.1568,0.000984457,0.000984457,0.000984457
5,32.4617,1.72866,2.2969,2.77077,0.29016,0.80644,0.9307,0.93994,0.693,1.08443,1.34899,2.31885,0.20028,0.00122145,0.00122145,0.00122145
6,37.2093,1.65129,1.91073,2.75013,0.32767,0.7076,0.89353,0.87332,0.60289,1.10042,1.04009,2.34798,0.30706,0.00135826,0.00135826,0.00135826
7,41.9773,1.66044,1.79858,2.66886,0.28856,0.76964,0.79324,0.82999,0.60197,1.0592,1.22782,2.27399,0.32545,0.00134412,0.00134412,0.00134412
8,46.761,1.59209,1.61974,2.68223,0.29033,0.92236,0.88769,0.95564,0.70218,1.02169,0.80354,2.21329,0.33075,0.00132997,0.00132997,0.00132997
9,51.564,1.60102,1.54726,2.66185,0.2987,0.76569,1,0.95159,0.6294,1.16905,0.94925,2.38884,0.33365,0.00131582,0.00131582,0.00131582
10,56.3692,1.60726,1.45732,2.63404,0.29951,0.87077,0.99072,0.995,0.71656,1.02827,0.73041,2.21799,0.27003,0.00130168,0.00130168,0.00130168
11,61.1442,1.57516,1.45274,2.59996,0.27701,0.91229,0.8,0.92716,0.69803,0.90964,1.4536,2.14057,0.33935,0.00128753,0.00128753,0.00128753
12,65.918,1.60928,1.41458,2.66614,0.27411,0.81575,0.92036,0.94989,0.70477,1.05325,0.92549,2.25327,0.30521,0.00127338,0.00127338,0.00127338
13,70.7556,1.57859,1.41716,2.60023,0.27997,0.92035,0.84849,0.92579,0.65596,1.17394,1.19046,2.29067,0.30715,0.00125923,0.00125923,0.00125923
14,75.6479,1.56601,1.4209,2.59597,0.29981,0.94566,0.96667,0.96531,0.70536,0.90828,0.67798,2.12675,0.19539,0.00124509,0.00124509,0.00124509
15,80.4227,1.65832,1.44327,2.69939,0.30226,0.85632,0.96182,0.98944,0.6579,1.0868,0.76202,2.2772,0.18378,0.00123094,0.00123094,0.00123094
16,85.2256,1.58709,1.45038,2.54681,0.30539,0.93315,0.96667,0.98464,0.72286,1.02948,0.71449,2.02103,0.12893,0.00121679,0.00121679,0.00121679
17,90.0051,1.55926,1.28594,2.49742,0.28116,0.94876,0.96359,0.98211,0.76152,0.91641,0.65665,2.21481,0.16926,0.00120265,0.00120265,0.00120265
18,94.9427,1.51687,1.31862,2.54231,0.29561,0.97605,0.9738,0.995,0.75803,0.90876,0.62009,2.03346,0.19866,0.0011885,0.0011885,0.0011885
19,99.7688,1.49319,1.28546,2.48318,0.26825,0.8557,0.96296,0.98364,0.72031,0.94733,0.74985,2.04224,0.2489,0.00117435,0.00117435,0.00117435
20,104.576,1.51004,1.26737,2.50792,0.28258,0.83591,0.95834,0.94664,0.69346,0.96828,1.05384,1.96954,0.24864,0.00116021,0.00116021,0.00116021
21,109.394,1.48299,1.2305,2.47097,0.29776,0.94705,0.95708,0.95456,0.69894,1.01603,0.81957,1.96932,0.229,0.00114606,0.00114606,0.00114606
