epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.7034,1.84744,7.45253,3.84416,0.24974,0.00333,1,0.00383,0.00077,0.96169,7.17876,2.71902,0.00682,2e-05,2e-05,2e-05
2,8.09032,1.69246,7.13245,3.53471,0.2439,0.00333,1,0.00378,0.00076,0.94169,7.09936,2.69425,0.00381,5.9406e-05,5.9406e-05,5.9406e-05
3,8.82015,1.66242,7.51796,3.29571,0.16358,0.00333,1,0.00396,0.00119,0.92297,6.95959,2.69393,0.00367,9.802e-05,9.802e-05,9.802e-05
4,9.52028,1.73587,8.48722,3.7257,0.17627,0.00333,1,0.00374,0.00112,0.91583,6.99482,2.70229,0.00377,0.000135842,0.000135842,0.000135842
5,10.2904,1.67214,6.34854,3.59931,0.18402,0.00333,1,0.05528,0.00843,0.64375,5.88916,1.81685,0.00358,0.000172872,0.000172872,0.000172872
6,11.1703,1.11716,4.49128,3.23079,0.11444,0.00333,1,0.04738,0.04738,0.33527,4.99175,1.2967,0.003,0.00020911,0.00020911,0.00020911
7,12.3201,1.06991,4.10265,2.8713,0.18481,0.00994,1,0.08292,0.08292,0.21165,4.54151,1.19239,0.00712,0.000244556,0.000244556,0.000244556
8,13.5549,1.28878,3.65014,2.60811,0.16159,0.08332,1,0.12437,0.12437,0.24455,4.22997,1.09656,0.02983,0.00027921,0.00027921,0.00027921
9,14.4152,1.11465,3.19402,2.51553,0.17178,0.17662,1,0.199,0.199,0.27681,3.9634,1.0685,0.02436,0.000313072,0.000313072,0.000313072
10,15.2848,1.04935,2.88094,2.41368,0.17084,0.50741,1,0.995,0.995,0.32854,3.61368,1.04419,0.0143,0.000346142,0.000346142,0.000346142
11,16.1649,0.95209,2.53815,2.28691,0.11505,0.92865,1,0.995,0.995,0.32902,3.33317,1.00941,0.00532,0.00037842,0.00037842,0.00037842
12,17.0104,1.09161,2.99134,2.52155,0.11937,0.96053,1,0.995,0.995,0.32846,2.84251,0.97841,0.00385,0.000409906,0.000409906,0.000409906
13,17.8752,0.90978,2.33625,2.24205,0.10826,0.96666,1,0.995,0.995,0.32108,2.38154,0.95208,0.00664,0.0004406,0.0004406,0.0004406
