epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4324,1.62499,5.10385,2.43698,0.07548,0.93613,0.95902,0.9684,0.6682,1.16441,1.44895,1.95852,0.02084,0.00055011,0.00055011,0.00055011
2,32.609,1.31568,1.62865,2.05404,0.05505,0.94055,0.92974,0.97117,0.65973,1.03034,0.8312,1.99979,0.02765,0.00109483,0.00109483,0.00109483
3,48.0701,1.23665,1.13166,1.84317,0.05426,0.96488,0.97541,0.99232,0.71639,0.99023,0.63898,1.75539,0.01492,0.00162855,0.00162855,0.00162855
4,63.6094,1.15586,0.94118,1.69022,0.05291,0.96797,0.97688,0.99312,0.71804,1.00696,0.58662,1.51794,0.02908,0.00161749,0.00161749,0.00161749
5,79.1326,1.12071,0.87362,1.69012,0.05941,0.98365,1,0.99492,0.73674,0.93392,0.54172,1.56561,0.04109,0.00160099,0.00160099,0.00160099
6,94.5586,1.10731,0.79929,1.61682,0.06029,0.9536,0.9918,0.98837,0.73647,0.96701,0.57338,1.52414,0.02998,0.00158448,0.00158448,0.00158448
7,109.872,1.0597,0.77273,1.6263,0.04915,0.98638,0.98361,0.99444,0.76817,0.85571,0.51284,1.51797,0.02395,0.00156798,0.00156798,0.00156798
8,125.413,1.0354,0.72121,1.57822,0.05097,0.96455,0.91803,0.94709,0.71396,0.90577,0.65159,1.58592,0.02083,0.00155148,0.00155148,0.00155148
9,141.363,0.9907,0.70148,1.53435,0.05335,0.93374,0.98361,0.98924,0.76313,0.88138,0.5308,1.53987,0.04084,0.00153497,0.00153497,0.00153497
10,157.567,1.00636,0.69902,1.53475,0.04636,0.97361,1,0.99347,0.74982,0.88289,0.50228,1.54651,0.04545,0.00151847,0.00151847,0.00151847
11,173.925,1.00329,0.69547,1.51663,0.05349,0.98766,1,0.99371,0.7752,0.85856,0.47266,1.40963,0.02687,0.00150197,0.00150197,0.00150197
12,190.727,0.98692,0.68284,1.48402,0.05031,0.98311,1,0.9946,0.78363,0.81883,0.42026,1.43597,0.02052,0.00148546,0.00148546,0.00148546
13,207.737,0.96772,0.64833,1.48437,0.04799,0.99274,0.9918,0.99484,0.80608,0.74856,0.42631,1.34166,0.01818,0.00146896,0.00146896,0.00146896
14,224.352,0.9264,0.63077,1.41069,0.04999,0.98399,0.98967,0.99337,0.75368,0.87468,0.46093,1.44267,0.02928,0.00145246,0.00145246,0.00145246
15,240.786,0.94715,0.64366,1.43613,0.0506,0.952,1,0.9897,0.76704,0.86523,0.49839,1.32669,0.02552,0.00143595,0.00143595,0.00143595
16,257.109,0.92677,0.60917,1.3948,0.04533,0.98752,1,0.99476,0.79026,0.77376,0.40573,1.36425,0.01502,0.00141945,0.00141945,0.00141945
17,273.917,0.92311,0.61007,1.38306,0.04777,0.97385,0.99526,0.99419,0.80554,0.76193,0.41323,1.30572,0.01494,0.00140295,0.00140295,0.00140295
18,290.814,0.92197,0.60994,1.388,0.04021,0.9805,0.99434,0.99476,0.79984,0.75026,0.41901,1.3019,0.02518,0.00138644,0.00138644,0.00138644
19,306.771,0.92576,0.60369,1.38691,0.04864,0.96885,1,0.99296,0.77991,0.78251,0.41845,1.40007,0.01581,0.00136994,0.00136994,0.00136994
20,322.914,0.86994,0.5694,1.34165,0.04013,0.98417,1,0.99435,0.78686,0.78851,0.42403,1.35009,0.02408,0.00135344,0.00135344,0.00135344
21,339.181,0.88745,0.58191,1.36673,0.04226,0.99532,1,0.995,0.8131,0.69753,0.36554,1.23445,0.01851,0.00133693,0.00133693,0.00133693
